sheet,category,code,description,cash_price_usd,online_price_usd
12 Sept BCCT,001 - BABY,BABC,Baby & Me Cream,1.0,1.05
12 Sept BCCT,001 - BABY,EPX,Epimax Cream 400g,5.5,5.775
12 Sept BCCT,001 - BABY,HUGD,Huggies Diapers - Pack,11.0,11.55
12 Sept BCCT,001 - BABY,HUGW,Huggies Wipes,2.0,2.1
12 Sept BCCT,001 - BABY,JOH,Johnson Jelly 325ml,2.5,2.625
12 Sept BCCT,001 - BABY,JOHA,Johnson Aqueous 350ml,2.5,2.625
12 Sept BCCT,001 - BABY,JOHN,Johnson Baby soap 175g,1.2,1.26
12 Sept BCCT,001 - BABY,MASTW,Masters Wipes,,0.0
12 Sept BCCT,001 - BABY,NAN,Nan 1;2;3&4,5.5,5.775
12 Sept BCCT,001 - BABY,PAMP,Pampers Masters Pack,12.0,12.6
12 Sept BCCT,001 - BABY,PAMPS,Pampers Masters Single,0.12,0.126
12 Sept BCCT,001 - BABY,PRED,Predo  Wipes,2.0,2.1
12 Sept BCCT,001 - BABY,PURA,Purity Aqueous,2.3,2.415
12 Sept BCCT,001 - BABY,SOFT,Soft Care Pampers,5.0,5.25
12 Sept BCCT,001 - BABY,SUNS,Sunlight soap,,0.0
12 Sept BCCT,001 - BABY,SUPRDY,Superdry - Pamper,,0.0
12 Sept BCCT,001 - BABY,WIP,Wipes,0.7,0.735
12 Sept BCCT,001 - BABY,WIPJOHN,Johnson Wipes,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,ALH,Aloha Washing Pwd 2kg,4.0,4.2
12 Sept BCCT,004 - CLEANING PRODUCTS,ALO,Aloha Washing Pwd 1kg,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,ALOD,Aloha Dishwasher,1.5,1.575
12 Sept BCCT,004 - CLEANING PRODUCTS,ALOH,Aloha Washing Pwdr 500g,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,ARP,Arpic Cleaner 750ml,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,BIG,BigBen bar,1.5,1.575
12 Sept BCCT,004 - CLEANING PRODUCTS,BOM,Boom Paste,0.5,0.525
12 Sept BCCT,004 - CLEANING PRODUCTS,BOMFC,Boom Force Cream 750ml,1.5,1.575
12 Sept BCCT,004 - CLEANING PRODUCTS,BOMM,Boom 150g,0.5,0.525
12 Sept BCCT,004 - CLEANING PRODUCTS,BOMW,Boom - 1KG,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,BOO,BoomDish washer 750ml,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,BOOMB,Boom Bleach 750ml,1.8,1.8900000000000001
12 Sept BCCT,004 - CLEANING PRODUCTS,BOOMF,Boom Force Scouring,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,BOOMM,Boom W/P 500g,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,COB,Cobra 350ml,2.5,2.625
12 Sept BCCT,004 - CLEANING PRODUCTS,COM,Comfort 1L,3.0,3.15
12 Sept BCCT,004 - CLEANING PRODUCTS,DISW,Dishwasher Seawave,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,DOMES,Domestos local,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,DOMS,Domestos,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,GK,Gik 750ml,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,GREE,Green Bar Perfection,1.3,1.365
12 Sept BCCT,004 - CLEANING PRODUCTS,GRN,Green Bar,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,HAN,Handy Andy,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,HARP,Harpic,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,JK,Jik 750ml,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,KIW,Kiwi Polish 50ml,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,KNCK,Knock Dishwasher 750ml,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,KNO,Knockout Can,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,KNOA,Knockout All Purpose Cleaner 500ml,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,KNOC,Knock out Satchet,0.5,0.525
12 Sept BCCT,004 - CLEANING PRODUCTS,KNOCK,Knockout Dishwasher 2L,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,KNOCT,Knockout Bleach,1.5,1.575
12 Sept BCCT,004 - CLEANING PRODUCTS,KWI,Kiwi 100ml,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,MAQ,Maq 1kg,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,MEGFLR,Boom 2kg,4.0,4.2
12 Sept BCCT,004 - CLEANING PRODUCTS,MQ,Maq 2kg,4.0,4.2
12 Sept BCCT,004 - CLEANING PRODUCTS,NUGET,Nugget - 100ml,,0.0
12 Sept BCCT,004 - CLEANING PRODUCTS,OMO,Omo Powder 2kg,4.0,4.2
12 Sept BCCT,004 - CLEANING PRODUCTS,PIN,Pinegel 500ml,1.5,1.575
12 Sept BCCT,004 - CLEANING PRODUCTS,PNE,Pinegel 1L,3.0,3.15
12 Sept BCCT,004 - CLEANING PRODUCTS,SEAW,DishWasher Seawave 2L,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,SNL,Sunlight Liquid,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,STASFT,Star Soft - 2litre,3.5,3.675
12 Sept BCCT,004 - CLEANING PRODUCTS,STS,StarSoft Refill mix,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,SUNL,Sunlight 1kg,2.0,2.1
12 Sept BCCT,004 - CLEANING PRODUCTS,SUNLT,SunLight Pwd 2kg,4.0,4.2
12 Sept BCCT,004 - CLEANING PRODUCTS,VIM,Xtra Vim,0.8,0.8400000000000001
12 Sept BCCT,004 - CLEANING PRODUCTS,VM,Vim Can,1.0,1.05
12 Sept BCCT,004 - CLEANING PRODUCTS,XTRA,XTRA Washing Powder,3.5,3.675
12 Sept BCCT,005 - COSMETICS,ADDSPRY,Addidas Spray,3.0,3.15
12 Sept BCCT,005 - COSMETICS,AXP,Axe Perfumer,2.0,2.1
12 Sept BCCT,005 - COSMETICS,BAB,Baby Crez 500ml,1.8,1.8900000000000001
12 Sept BCCT,005 - COSMETICS,BABL,Baby line 500ml,,0.0
12 Sept BCCT,005 - COSMETICS,BCS,Black Chick  Small 125ml,1.0,1.05
12 Sept BCCT,005 - COSMETICS,BEV,BeverlyHills Roll on,,0.0
12 Sept BCCT,005 - COSMETICS,BEVP,Beverly Hills Perfume,2.5,2.625
12 Sept BCCT,005 - COSMETICS,BLC,BlackChic Big 250ml,,0.0
12 Sept BCCT,005 - COSMETICS,BOD,Bodi doc,3.0,3.15
12 Sept BCCT,005 - COSMETICS,BODD,Bodi doc Tissue Oil,3.0,3.15
12 Sept BCCT,005 - COSMETICS,BOMO,Boom Fabric Conditioner 2ltr,,0.0
12 Sept BCCT,005 - COSMETICS,CBL,Clere Beautiful Cream 400ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,CFM,Clere For Men 450ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,CLG,Clere Glycerine 100ml,1.0,1.05
12 Sept BCCT,005 - COSMETICS,CLM,Clere Men lotion 400ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,CLR,Clere Glyco Glycerine 100ml,1.2,1.26
12 Sept BCCT,005 - COSMETICS,CLRE,Clere Ladies Cream,2.0,2.1
12 Sept BCCT,005 - COSMETICS,COSMO,Cosmo Foam Bath,1.0,1.05
12 Sept BCCT,005 - COSMETICS,DAR,Dark& Lovely,5.5,5.775
12 Sept BCCT,005 - COSMETICS,DAW,Dawn,,0.0
12 Sept BCCT,005 - COSMETICS,DAWN,Dawn Cream,,0.0
12 Sept BCCT,005 - COSMETICS,DAX31,Dax 3 in 1 375mls,1.5,1.575
12 Sept BCCT,005 - COSMETICS,DAXG,Dax Hair Grower 250ml,3.0,3.15
12 Sept BCCT,005 - COSMETICS,DAXH,Dax Hair Grower 125mls,1.5,1.575
12 Sept BCCT,005 - COSMETICS,DAXI,Dax Freez Big 250ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,DOVE,Dove Lotion,5.5,5.775
12 Sept BCCT,005 - COSMETICS,DXA,Dax Freez Small 100ml,1.2,1.26
12 Sept BCCT,005 - COSMETICS,DXB,Dax Big 3 n 1,2.5,2.625
12 Sept BCCT,005 - COSMETICS,ENG,English Blazer,2.5,2.625
12 Sept BCCT,005 - COSMETICS,EWP,EasyWaves Pack,,0.0
12 Sept BCCT,005 - COSMETICS,EXCLA,Exclamation Perfume,2.0,2.1
12 Sept BCCT,005 - COSMETICS,GMG,Gentel Magic lotion,1.0,1.05
12 Sept BCCT,005 - COSMETICS,GML,Gentle Magic Cream,1.0,1.05
12 Sept BCCT,005 - COSMETICS,GMS,Gentel Magic Serum,1.5,1.575
12 Sept BCCT,005 - COSMETICS,GNT,Gentel Magic Soap,1.0,1.05
12 Sept BCCT,005 - COSMETICS,GNTO,Gentle Magic Oil 50ml,2.5,2.625
12 Sept BCCT,005 - COSMETICS,HAR,Hair Remover Cosmo 40g,0.5,0.525
12 Sept BCCT,005 - COSMETICS,HOIT,Hoit Toity 90mls,2.0,2.1
12 Sept BCCT,005 - COSMETICS,HOITY,Hoity Toity Lotion,3.0,3.15
12 Sept BCCT,005 - COSMETICS,IGM,Ingrams Herbal,2.5,2.625
12 Sept BCCT,005 - COSMETICS,IGMS,Ingrams Senstive 450ml,,0.0
12 Sept BCCT,005 - COSMETICS,IMP,Ingrams Moisture Plus 450ml,2.8,2.94
12 Sept BCCT,005 - COSMETICS,ING,Ingrams men 450ml,2.8,2.94
12 Sept BCCT,005 - COSMETICS,INGM,Ingrams Aloe 450ml,,0.0
12 Sept BCCT,005 - COSMETICS,INGMS,Ingrams tissue oi l450ml,3.5,3.675
12 Sept BCCT,005 - COSMETICS,INGRO,Ingrams Original 450mls,2.8,2.94
12 Sept BCCT,005 - COSMETICS,INR,Igrams Roibos 450ml,,0.0
12 Sept BCCT,005 - COSMETICS,ISB,Inecto Super Black75g,1.0,1.05
12 Sept BCCT,005 - COSMETICS,ISOP,Isoplus Edge Control,2.5,2.625
12 Sept BCCT,005 - COSMETICS,ISP,Iso Plus Hair Spry 240ml,1.8,1.8900000000000001
12 Sept BCCT,005 - COSMETICS,LACE,Lace Lotion,3.0,3.15
12 Sept BCCT,005 - COSMETICS,MOUS,Mousse,,0.0
12 Sept BCCT,005 - COSMETICS,NIV,Nivea Cream/Lotion 400ml,4.0,4.2
12 Sept BCCT,005 - COSMETICS,NIVA,Nivea Radiant Cream 400ml,,0.0
12 Sept BCCT,005 - COSMETICS,NIVES,Nivea Spray,3.0,3.15
12 Sept BCCT,005 - COSMETICS,NVIA,Nivea Q10,7.5,7.875
12 Sept BCCT,005 - COSMETICS,OHS,Oh So Heavenly Lotion 720ml,5.0,5.25
12 Sept BCCT,005 - COSMETICS,OHSHV,Oh So Heavenly - 2L,5.5,5.775
12 Sept BCCT,005 - COSMETICS,OHSL,Oh  So Heavenly Lotion 1L,7.0,7.35
12 Sept BCCT,005 - COSMETICS,OHSO,Oh SO Heavenly Cream 450ml,4.0,4.2
12 Sept BCCT,005 - COSMETICS,OHSOQ,Oh So heavenly Q10,7.0,7.35
12 Sept BCCT,005 - COSMETICS,OLV,Olive Oil Spry 250ml,1.8,1.8900000000000001
12 Sept BCCT,005 - COSMETICS,PLA,PlayBoy Roll on,,0.0
12 Sept BCCT,005 - COSMETICS,PLAY,PlayBoy Perfume,,0.0
12 Sept BCCT,005 - COSMETICS,RLS,Roll On Shield,,0.0
12 Sept BCCT,005 - COSMETICS,ROLL,Roll On Addidas 50ml,,0.0
12 Sept BCCT,005 - COSMETICS,ROLNIV,Roll on Nivea - 50ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,ROP,Roll On Power House 50ml,,0.0
12 Sept BCCT,005 - COSMETICS,SHOW,Shower To Shower,1.0,1.05
12 Sept BCCT,005 - COSMETICS,SHWR,Shower to Shower Perfume,2.5,2.625
12 Sept BCCT,005 - COSMETICS,SKA,Skala 200g,,0.0
12 Sept BCCT,005 - COSMETICS,SKAL,Skala hairFood,1.0,1.05
12 Sept BCCT,005 - COSMETICS,TOPS,Top Society,1.5,1.575
12 Sept BCCT,005 - COSMETICS,VAS,Vaseline 450ml,3.8,3.9899999999999998
12 Sept BCCT,005 - COSMETICS,VASE,Vaseline 250ml,2.0,2.1
12 Sept BCCT,005 - COSMETICS,VASEL,v,,0.0
12 Sept BCCT,005 - COSMETICS,VASELN,Vaseline lips,0.5,0.525
12 Sept BCCT,005 - COSMETICS,VASL,Vaseline 50ml,0.5,0.525
12 Sept BCCT,005 - COSMETICS,VASLN,Vaseline Cream,3.0,3.15
12 Sept BCCT,005 - COSMETICS,VASLNL,Vaseline Lotion,3.5,3.675
12 Sept BCCT,005 - COSMETICS,VESTGLC,Vestline Garlic - 200g,1.0,1.05
12 Sept BCCT,005 - COSMETICS,VSN,Vaseline - 100ml,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,ANG,Angel Care Tissue,8.0,8.4
12 Sept BCCT,019 - TOILETRIES,AQFRSH,Aquafresh - 100ml,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,BABYS,Baby Soft 18s,9.5,9.975
12 Sept BCCT,019 - TOILETRIES,CLO,Close Up,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,COL,Colgate 100ml,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,DELLP,Utra Pads,0.6,0.63
12 Sept BCCT,019 - TOILETRIES,DETO,Dettol Liquid,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,DETT,Dettol soap,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,GEI,Geisha,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,HIL,HiLife Soap,0.5,0.525
12 Sept BCCT,019 - TOILETRIES,HYG,hygienix Soap 175g,0.5,0.525
12 Sept BCCT,019 - TOILETRIES,JAD,Jade Soap,0.8,0.8400000000000001
12 Sept BCCT,019 - TOILETRIES,KOT,Kotex pads 10s,1.5,1.575
12 Sept BCCT,019 - TOILETRIES,LIFBY,Lifebouy,0.8,0.8400000000000001
12 Sept BCCT,019 - TOILETRIES,LUX,Lux Soap,0.9,0.9450000000000001
12 Sept BCCT,019 - TOILETRIES,OHSOH,Oh So Heavenly Gel,,0.0
12 Sept BCCT,019 - TOILETRIES,PANT,Kotex Pant Liners,,0.0
12 Sept BCCT,019 - TOILETRIES,PDS,Pads Mix,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,PERI,Period pants,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,PROT,Protex Soap,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,PRVT,Private Joy Tissue,8.0,8.4
12 Sept BCCT,019 - TOILETRIES,ROM,Romance Soap 50g,0.8,0.8400000000000001
12 Sept BCCT,019 - TOILETRIES,SAT,Tissue Single,0.5,0.525
12 Sept BCCT,019 - TOILETRIES,SATI,Satiskin 2L,4.5,4.725
12 Sept BCCT,019 - TOILETRIES,SATSK,Satiskin 1L,2.5,2.625
12 Sept BCCT,019 - TOILETRIES,SON,Sona,,0.0
12 Sept BCCT,019 - TOILETRIES,TISS,Tissue 4s,1.0,1.05
12 Sept BCCT,019 - TOILETRIES,TWIN,TwinSaver Tissue,9.0,9.45
12 Sept BCCT,019 - TOILETRIES,TWINS,TwinSaver 9s,4.5,4.725
12 Sept BCCT,019 - TOILETRIES,YBO,Yebo Soap,0.5,0.525
12 Sept SSSS,012 - SNACK,ALL,Allsorts sweets,1.0,1.05
12 Sept SSSS,012 - SNACK,AMAZ,Amazon Cookies,0.5,0.525
12 Sept SSSS,012 - SNACK,BIC,Bickies,0.4,0.42000000000000004
12 Sept SSSS,012 - SNACK,BLS01,Bliss - 200g,0.4,0.42000000000000004
12 Sept SSSS,012 - SNACK,BUBB,Bubble Chocolate,0.5,0.525
12 Sept SSSS,012 - SNACK,CAK,Cake,,0.0
12 Sept SSSS,012 - SNACK,CARD,Cardbury choc,1.5,1.575
12 Sept SSSS,012 - SNACK,CHA,Charhons 500g,1.5,1.575
12 Sept SSSS,012 - SNACK,CHAR,Charhons 1kg,3.0,3.15
12 Sept SSSS,012 - SNACK,CHARH,Charhorns 2kg,5.2,5.46
12 Sept SSSS,012 - SNACK,CHARHN,Charhon Crunch Cookies,,0.0
12 Sept SSSS,012 - SNACK,CHARNS,Charhons 200g,0.5,0.525
12 Sept SSSS,012 - SNACK,CHCOK,Charhons Cookies - 500g,1.5,1.575
12 Sept SSSS,012 - SNACK,CHELS,ShortBread Chelsea,0.5,0.525
12 Sept SSSS,012 - SNACK,CHI,Chicken curls,,0.0
12 Sept SSSS,012 - SNACK,CHIC,Chicken Flings,,0.0
12 Sept SSSS,012 - SNACK,CHMP,Chompkins 25g,,0.0
12 Sept SSSS,012 - SNACK,CHO,Chocolate Coated Biscuits,1.5,1.575
12 Sept SSSS,012 - SNACK,CHOCC,Chocalate Coated Small,0.5,0.525
12 Sept SSSS,012 - SNACK,CHOCCB,Chocolate coated Box,,0.0
12 Sept SSSS,012 - SNACK,CHOI,Choice Biscuits,1.5,1.575
12 Sept SSSS,012 - SNACK,CHOMP,Chompkins 150g,1.3,1.365
12 Sept SSSS,012 - SNACK,CHPP,Chippa,,0.0
12 Sept SSSS,012 - SNACK,COC,Coco Bongo Choc,,0.0
12 Sept SSSS,012 - SNACK,COKI,Cookies,0.5,0.525
12 Sept SSSS,012 - SNACK,COU,Cough drops,0.5,0.525
12 Sept SSSS,012 - SNACK,CRAC,Cracker Jax,,0.0
12 Sept SSSS,012 - SNACK,CRINK,Crinkles big,,0.0
12 Sept SSSS,012 - SNACK,CRM,CreamFeast,,0.0
12 Sept SSSS,012 - SNACK,DAI,Daisy Biscuits,0.5,0.525
12 Sept SSSS,012 - SNACK,DAND,Dandy Pack,2.5,2.625
12 Sept SSSS,012 - SNACK,DELL,Dell Cookies 500ml,1.8,1.8900000000000001
12 Sept SSSS,012 - SNACK,DELLC,Dell cookies 1kg,,0.0
12 Sept SSSS,012 - SNACK,DOR,Doritos 145g,,0.0
12 Sept SSSS,012 - SNACK,ECLAI,Eclair/Big Boom Pack,3.3,3.465
12 Sept SSSS,012 - SNACK,ELD30,Eldos - 30g,,0.0
12 Sept SSSS,012 - SNACK,FIN,Finger Biscuits,0.5,0.525
12 Sept SSSS,012 - SNACK,FRI,Frimax 150g,1.5,1.575
12 Sept SSSS,012 - SNACK,FUNN,Funny Dip,0.2,0.21000000000000002
12 Sept SSSS,012 - SNACK,GOLD,GoldenFresh Biscuits,,0.0
12 Sept SSSS,012 - SNACK,HAL01,HALLS,0.1,0.10500000000000001
12 Sept SSSS,012 - SNACK,HELL,Hello/Chippa Single,0.5,0.525
12 Sept SSSS,012 - SNACK,HELPCK,Hello - Pack,,0.0
12 Sept SSSS,012 - SNACK,IMPR,Imperial Mints,1.0,1.05
12 Sept SSSS,012 - SNACK,JMBO,Jumbo Pack,,0.0
12 Sept SSSS,012 - SNACK,JOE,Joe Biscuits,0.33,0.34650000000000003
12 Sept SSSS,012 - SNACK,JPT,Jupiter 75g,,0.0
12 Sept SSSS,012 - SNACK,JUMSNG,Jumbo single,,0.0
12 Sept SSSS,012 - SNACK,KING,KingKurls Pack,3.5,3.675
12 Sept SSSS,012 - SNACK,KIS01,Kiss,,0.0
12 Sept SSSS,012 - SNACK,KNG,KingKurls Single,0.5,0.525
12 Sept SSSS,012 - SNACK,KRE,Krema Biscuits,,0.0
12 Sept SSSS,012 - SNACK,LAKK,LakkerNax,1.8,1.8900000000000001
12 Sept SSSS,012 - SNACK,LAYS,Lays 125g,1.5,1.575
12 Sept SSSS,012 - SNACK,LOB,Lobels Biscuits,0.5,0.525
12 Sept SSSS,012 - SNACK,LOBE,Lobels Loose Biscuits,,0.0
12 Sept SSSS,012 - SNACK,LOLI,Lollipop,0.2,0.21000000000000002
12 Sept SSSS,012 - SNACK,LOO,Loose Biscuits 200g,,0.0
12 Sept SSSS,012 - SNACK,LOS,Loose Buiscuits 2kg,,0.0
12 Sept SSSS,012 - SNACK,LUN,Lunch Bar Choc,0.4,0.42000000000000004
