normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
parboiled rice 5kg,Parboiled Rice 5kg,016 - STARCH,5.46,5.2,5.46,,PAR,,excel
pascal choc,Pascal Choc,012 - SNACK,0.525,0.5,0.525,,PAS,,excel
pastarelli macaroni 3kg,Pastarelli - Macaroni 3kg,016 - STARCH,4.2,4.0,4.2,,PAST,,excel
peacan nuts pack,Peacan Nuts - Pack,,1.75,,,1.75,,VPEC02,pdf
peanut butter paguyo 1l,Peanut butter (Paguyo) - 1L,,3.0,,,3.0,,PEANTOO2,pdf
peanut butter 300ml,Peanut butter - 300ml,,1.0,,,1.0,,PEANT06,pdf
peanut butter 1l,Peanut Butter 1L,015 - SPREADS,3.15,3.0,3.15,,PNUT,,excel
peanut butter 375ml,Peanut Butter 375ml,015 - SPREADS,1.05,1.0,1.05,3.0,PNUTB,MPEN,excel|pdf
peanuts unshelled 75g,Peanuts (unshelled) - 75g,,0.5,,,0.5,,PEANT001,pdf
peanuts 500g,Peanuts 500g,,2.0,,,2.0,,MSPN75,pdf
pearlenta 10kg,Pearlenta 10kg,016 - STARCH,8.4,8.0,8.4,,PEARL,,excel
pearlenta porridge 1kg,Pearlenta Porridge 1kg,002 - BEVERAGES,1.575,1.5,1.575,,PEAR,,excel
pears forelle each,Pears Forelle each,,0.33,,,0.33,,FPF04,pdf
pepper green pnt,Pepper (green) - Pnts,,0.5,,,0.5,,VPEP66,pdf
pepper green kg,Pepper (Green)- kg,,2.0,,,2.0,,VPE65,pdf
pepper yellow red kg,Pepper Yellow/Red - kg,,3.5,,,3.5,,VPEPP,pdf
peps 1l,PEPS 1L,002 - BEVERAGES,0.525,0.5,0.525,,PEPM,,excel
peps 500ml,Peps 500ml,002 - BEVERAGES,0.34650000000000003,0.33,0.34650000000000003,,PEPS,,excel
peps case,Peps Case,002 - BEVERAGES,9.45,9.0,9.45,,PEP,,excel
period pants,Period pants,019 - TOILETRIES,1.05,1.0,1.05,,PERI,,excel
pfuko buttermilk 500ml,Pfuko Buttermilk - 500ml,002 - BEVERAGES,0.63,0.6,0.63,,PFKBT,,excel
pfuko case,Pfuko case,002 - BEVERAGES,6.3,6.0,6.3,,PFKO,,excel
pfuko traditional 500ml,Pfuko Traditional 500ml,002 - BEVERAGES,0.525,0.5,0.525,,PFK,,excel
pie,Pie,016 - STARCH,0.525,0.5,0.525,,PIE,,excel
pine apples each,Pine Apples each,,1.5,,,1.5,,FPIN02,pdf
pinegel 1l,Pinegel 1L,004 - CLEANING PRODUCTS,3.15,3.0,3.15,,PNE,,excel
pinegel 500ml,Pinegel 500ml,004 - CLEANING PRODUCTS,1.575,1.5,1.575,,PIN,,excel
plain flour 2kg,Plain Flour 2kg,016 - STARCH,,,0.0,,PLAI,,excel
playboy perfume,PlayBoy Perfume,005 - COSMETICS,,,0.0,,PLAY,,excel
playboy roll on,PlayBoy Roll on,005 - COSMETICS,,,0.0,,PLA,,excel
popcorn,Popcorn,012 - SNACK,1.05,1.0,1.05,,POP,,excel
popticorn 120g,Popticorn -120g,012 - SNACK,0.525,0.5,0.525,,POPCN,,excel
popticorn pack,Popticorn Pack,012 - SNACK,,,0.0,,POPT,,excel
potatoes 7 5kg,Potatoes - 7.5kg,,5.0,,,5.0,,VP271,pdf
potatoes large 15kg poc,POTATOES - LARGE 15KG POC,,10.0,,,10.0,,VPL68,pdf
potatoes 15kg,Potatoes 15kg,016 - STARCH,,,0.0,,POTA,,excel
potatoes 3kg med pack,Potatoes 3kg Med Pack,,3.0,,,3.0,,VPOT04,pdf
powerplus,PowerPlus,002 - BEVERAGES,2.1,2.0,2.1,,PWR,,excel
predo wipes,Predo  Wipes,001 - BABY,2.1,2.0,2.1,,PRED,,excel
primo fusilli 650g,Primo Fusilli 650g,016 - STARCH,,,0.0,,PRIMO,,excel
primo pasta,Primo Pasta,016 - STARCH,,,0.0,,PRIM,,excel
private joy tissue,Private Joy Tissue,019 - TOILETRIES,8.4,8.0,8.4,,PRVT,,excel
protex soap,Protex Soap,019 - TOILETRIES,1.05,1.0,1.05,,PROT,,excel
proton cookies 1kg,Proton Cookies 1kg,012 - SNACK,3.675,3.5,3.675,,PRO,,excel
proton cookies 250g,Proton Cookies 250g,012 - SNACK,1.05,1.0,1.05,,PROTN,,excel
proton cookies 2kg,Proton Cookies 2kg,012 - SNACK,6.825,6.5,6.825,,PROTO,,excel
proton cookies 500g,Proton Cookies 500g,012 - SNACK,2.1,2.0,2.1,,PRT,,excel
purejoy juice,PureJoy Juice,002 - BEVERAGES,2.1,2.0,2.1,,PUREJ,,excel
purity aqueous,Purity Aqueous,001 - BABY,2.415,2.3,2.415,,PURA,,excel
quench,Quench,002 - BEVERAGES,3.675,3.5,3.675,,QUEN,,excel
raha white rice 2kg,Raha white Rice 2kg,016 - STARCH,2.31,2.2,2.31,,RAHA,,excel
raha white rice 5kg,Raha white Rice 5kg,016 - STARCH,5.775,5.5,5.775,,RHA,,excel
raisins punnet,Raisins Punnets,,2.0,,,2.0,,FDFRO2,pdf
rapoko 1kg,Rapoko 1kg,,3.0,,,3.0,,RAP,pdf
rapoko 2kg,Rapoko 2kg,,6.0,,,6.0,,RPW06,pdf
rapoko 5kg,Rapoko 5kg,,14.5,,,14.5,,MGRO,pdf
redbull,RedBull,002 - BEVERAGES,1.26,1.2,1.26,,RED,,excel
revive juice 1l,Revive Juice 1L,002 - BEVERAGES,1.05,1.0,1.05,,REVJ,,excel
revive juice 500ml,Revive juice 500ml,002 - BEVERAGES,0.525,0.5,0.525,,REV,,excel
revive maheu 1l,Revive Maheu 1L,002 - BEVERAGES,1.05,1.0,1.05,,REVM,,excel
revive maheu 500ml,Revive Maheu 500ml,002 - BEVERAGES,0.525,0.5,0.525,,REVI,,excel
rhodes juice,Rhodes Juice,002 - BEVERAGES,0.525,0.5,0.525,,RHD,,excel
rice white 1kg,Rice (White) - 1kg,,2.25,,,2.25,,RPW10,pdf
rice white 2kg,Rice (White) - 2kg,,4.5,,,4.5,,RPW12,pdf
rice white 5kg,Rice (White) - 5kg,,11.25,,,11.25,,RPW11,pdf
ripples,Ripples,012 - SNACK,1.05,1.0,1.05,,RIPP,,excel
roll on addidas 50ml,Roll On Addidas 50ml,005 - COSMETICS,,,0.0,,ROLL,,excel
roll on nivea 50ml,Roll on Nivea - 50ml,005 - COSMETICS,2.1,2.0,2.1,,ROLNIV,,excel
roll on power house 50ml,Roll On Power House 50ml,005 - COSMETICS,,,0.0,,ROP,,excel
roll on shield,Roll On Shield,005 - COSMETICS,,,0.0,,RLS,,excel
roller meal 10kg,Roller Meal 10kg,016 - STARCH,6.3,6.0,6.3,,ROLER,,excel
roller meal irifarm 5kg,Roller meal Irifarm 5kg,016 - STARCH,3.15,3.0,3.15,,RLLR,,excel
roller superlife 5kg,Roller SuperLife 5kg,016 - STARCH,2.1,2.0,2.1,,ROLLS,,excel
romance soap 50g,Romance Soap 50g,019 - TOILETRIES,0.8400000000000001,0.8,0.8400000000000001,,ROM,,excel
romi margarine,Romi Margarine,015 - SPREADS,,,0.0,,ROMI,,excel
rosso chocolate,Rosso Chocolate,012 - SNACK,,,0.0,,ROSS,,excel
rossy wafers,Rossy Wafers,012 - SNACK,0.525,0.5,0.525,,ROSY,,excel
royco box 12s,Royco Box 12s,013 - SOUPS,,,0.0,,ROYC,,excel
royco mchuzi,Royco Mchuzi,013 - SOUPS,2.1,2.0,2.1,,RYC,,excel
royco satchet,Royco Satchet,013 - SOUPS,0.525,0.5,0.525,,ROY,,excel
rul 3d,Rul 3D,012 - SNACK,,,0.0,,RUL,,excel
s,S,012 - SNACK,,,0.0,,SPUDB,,excel
sasko flour 5kg,Sasko Flour - 5kg,016 - STARCH,,,0.0,,SAS,,excel
sasko flour 2 5 kg,Sasko Flour 2.5 kg,016 - STARCH,3.15,3.0,3.15,,SASKF,,excel
satiskin 1l,Satiskin 1L,019 - TOILETRIES,2.625,2.5,2.625,,SATSK,,excel
satiskin 2l,Satiskin 2L,019 - TOILETRIES,4.725,4.5,4.725,,SATI,,excel
sauce 330ml,Sauce - 330ml,,1.0,,,1.0,,SCE02,pdf
sauce bbq 2 litres,Sauce Bbq - 2 Litres,,4.0,,,4.0,,SCE01,pdf
sauce garlic bbq lemon herd 1l,"Sauce(garlic,Bbq,Lemon Herd) - 1L",,4.0,,,4.0,,SCE03,pdf
sausage kg,Sausage kg,013 - SOUPS,,,0.0,,SAUC,,excel
seeds,Seeds,,1.0,,,1.0,,SEDS,pdf
self raising flour 2kg,Self Raising Flour 2kg,016 - STARCH,1.8900000000000001,1.8,1.8900000000000001,,SELF,,excel
self raising flour case,Self Raising Flour Case,016 - STARCH,,,0.0,,SELFR,,excel
shortbread biscuits 150g,ShortBread Biscuits - 150g,012 - SNACK,0.525,0.5,0.525,,SHRT,,excel
shortbread chelsea,ShortBread Chelsea,012 - SNACK,0.525,0.5,0.525,,CHELS,,excel
shortbread mini,ShortBread Mini,012 - SNACK,0.2625,0.25,0.2625,,SHOR,,excel
shower to shower,Shower To Shower,005 - COSMETICS,1.05,1.0,1.05,,SHOW,,excel
shower to shower perfume,Shower to Shower Perfume,005 - COSMETICS,2.625,2.5,2.625,,SHWR,,excel
shumba,Shumba,002 - BEVERAGES,0.525,0.5,0.525,,ADE,,excel
simba,Simba,012 - SNACK,,,0.0,,SIM,,excel
skala 200g,Skala 200g,005 - COSMETICS,,,0.0,,SKA,,excel
skala hairfood,Skala hairFood,005 - COSMETICS,1.05,1.0,1.05,,SKAL,,excel
snowfake selfraising 2 5,SnowFake SelfRaising 2.5,016 - STARCH,3.9899999999999998,3.8,3.9899999999999998,,SNO,,excel
snowflak cake flour 2 5kg,SnowFlak Cake Flour 2.5kg,016 - STARCH,3.675,3.5,3.675,,CAKFLR,,excel
soft care pampers,Soft Care Pampers,001 - BABY,5.25,5.0,5.25,,SOFT,,excel
sona,Sona,019 - TOILETRIES,,,0.0,,SON,,excel
sorghum 1kg,Sorghum 1Kg,,3.0,,,3.0,,SORGA,pdf
southern coating 200g,Southern Coating - 200g,014 - SPICES,1.575,1.5,1.575,,SOTHCTN,,excel
spagetti 400g,Spagetti 400g,016 - STARCH,0.525,0.5,0.525,,EKONO,,excel
spice,Spice,013 - SOUPS,,,0.0,,SPIC,,excel
spice 200g,Spice - 200g,,5.0,,,5.0,,SPCE003,pdf
spice bbq 500g,Spice Bbq - 500g,,6.0,,,6.0,,BLPER,pdf
spices 100g,Spices - 100g,,1.0,,,1.0,,SPC004,pdf
spices 60g satchets,Spices 60g Satchets,,1.0,,,1.0,,MSSP,pdf
spinners loose pack,Spinners loose - Pack,012 - SNACK,,,0.0,,SPNRL01,,excel
spuds 30g,Spuds 30g,012 - SNACK,0.525,0.5,0.525,,SPD,,excel
spuds 75g,Spuds 75g,012 - SNACK,1.05,1.0,1.05,,SPU,,excel
spuds lays box 30g,Spuds/Lays Box 30g,012 - SNACK,10.5,10.0,10.5,,SPUD,,excel
squish squash appl ras,Squish Squash Appl/Ras,002 - BEVERAGES,,,0.0,,SQUI,,excel
squish squash crush 2l,Squish Squash Crush 2L,002 - BEVERAGES,,,0.0,,SQU,,excel
stambo bigboom pack,Stambo/ BigBoom Pack,012 - SNACK,3.15,3.0,3.15,,STA,,excel
stambo bigboom single,Stambo/ BigBoom Single,012 - SNACK,0.10500000000000001,0.1,0.10500000000000001,,STAMB,,excel
star soft 2litre,Star Soft - 2litre,004 - CLEANING PRODUCTS,3.675,3.5,3.675,,STASFT,,excel
starsoft refill mix,StarSoft Refill mix,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,STS,,excel
sting 500ml,Sting 500ml,002 - BEVERAGES,0.525,0.5,0.525,,STG,,excel
sugar beans 1kg,Sugar Beans - 1KG,,3.0,,,3.0,,MSB12,pdf
sugar beans 2kg,Sugar Beans 2kg,,6.0,,,6.0,,MSB14,pdf
sugar beans kg,Sugar Beans Kg,,3.0,,,3.0,,MSB16,pdf
sugar case,Sugar Case,016 - STARCH,,,0.0,,SUGAR,,excel
sun snack,Sun Snack,012 - SNACK,0.525,0.5,0.525,,SUNSA,,excel
sunbite biscuits,SunBite Biscuits,012 - SNACK,0.525,0.5,0.525,,SUNB,,excel
sunjam 500g,SunJam 500g,015 - SPREADS,1.575,1.5,1.575,,SUNJ,,excel
sunjam 900g,SunJam 900g,015 - SPREADS,,,0.0,,SNJAM,,excel
sunlight 1kg,Sunlight 1kg,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,SUNL,,excel
sunlight liquid,Sunlight Liquid,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,SNL,,excel
sunlight pwd 2kg,SunLight Pwd 2kg,004 - CLEANING PRODUCTS,4.2,4.0,4.2,,SUNLT,,excel
sunlight soap,Sunlight soap,001 - BABY,,,0.0,,SUNS,,excel
sunny porridge,Sunny Porridge,003 - CEREALS,1.575,1.5,1.575,,SUN,,excel
superday 5l,SuperDay 5L,002 - BEVERAGES,,,0.0,,SUPD,,excel
superdry pamper,Superdry - Pamper,001 - BABY,,,0.0,,SUPRDY,,excel
supersip 500ml,SuperSip 500ml,002 - BEVERAGES,,,0.0,,SUP,,excel
sweet cup,Sweet Cup,012 - SNACK,0.10500000000000001,0.1,0.10500000000000001,,SWEE,,excel
sweet potatoes kg,Sweet potatoes - kg,,32.0,,,32.0,,VSP82,pdf
sweetcup can,SweetCup Can,012 - SNACK,,,0.0,,SWEEC,,excel
switch,Switch,002 - BEVERAGES,1.05,1.0,1.05,,SWT,,excel
tapi tapi 2kg,Tapi Tapi 2kg,016 - STARCH,2.625,2.5,2.625,,TAPI,,excel
tea biscuits,Tea Biscuits,012 - SNACK,3.15,3.0,3.15,,TEA,,excel
tea loaf,Tea loaf,016 - STARCH,0.8400000000000001,0.8,0.8400000000000001,,TLOF,,excel
thai 5kg,Thai 5kg,016 - STARCH,,,0.0,,THAIR,,excel
thai rice,Thai Rice,016 - STARCH,2.415,2.3,2.415,,THAI,,excel
things 75g,Things 75g,012 - SNACK,1.05,1.0,1.05,,THIN,,excel
things pack,THINGS Pack,012 - SNACK,5.25,5.0,5.25,,THING|THINP,,excel
things kornkurl 150g,Things/Kornkurl 150g,012 - SNACK,0.525,0.5,0.525,,THI,,excel
time biscuits,Time Biscuits,012 - SNACK,,,0.0,,TME,,excel
tissue 4s,Tissue 4s,019 - TOILETRIES,1.05,1.0,1.05,,TISS,,excel
tissue single,Tissue Single,019 - TOILETRIES,0.525,0.5,0.525,,SAT,,excel
toffee bar,Toffee Bar,012 - SNACK,,,0.0,,TOF,,excel
tomatoes kg,Tomatoes kg,013 - SOUPS,0.8,,0.0,0.8,TOM,VTO83,excel|pdf
top jam 400ml,Top Jam 400ml,015 - SPREADS,1.05,1.0,1.05,,TOP,,excel
top society,Top Society,005 - COSMETICS,1.575,1.5,1.575,,TOPS,,excel
top soy 90g,Top Soy 90g,013 - SOUPS,0.525,0.5,0.525,,TOPL,,excel
top t biscuits 150g,Top T biscuits - 150g,012 - SNACK,,,0.0,,TOPTB,,excel
topchef 2kg,TopChef 2kg,016 - STARCH,2.625,2.5,2.625,,TOPF,,excel
topchef white rice 5kg,TopChef white Rice 5kg,016 - STARCH,5.775,5.5,5.775,,TOPC,,excel
topjam 900g,Topjam 900g,015 - SPREADS,,,0.0,,TJAM,,excel
torku chocolate,Torku Chocolate,012 - SNACK,0.2625,0.25,0.2625,,TORK,,excel
twinsaver 9s,TwinSaver 9s,019 - TOILETRIES,4.725,4.5,4.725,,TWINS,,excel
twinsaver tissue,TwinSaver Tissue,019 - TOILETRIES,9.45,9.0,9.45,,TWIN,,excel
ufresh drink,Ufresh Drink,002 - BEVERAGES,,,0.0,,UFSH,,excel
ufresh maheu,Ufresh Maheu,002 - BEVERAGES,,,0.0,,UFRS,,excel
usavi mix,Usavi Mix,013 - SOUPS,0.34650000000000003,0.33,0.34650000000000003,,USV,,excel
utra pads,Utra Pads,019 - TOILETRIES,0.63,0.6,0.63,,DELLP,,excel
v,v,005 - COSMETICS,,,0.0,,VASEL,,excel
vaseline 100ml,Vaseline - 100ml,005 - COSMETICS,1.05,1.0,1.05,,VSN,,excel
vaseline 250ml,Vaseline 250ml,005 - COSMETICS,2.1,2.0,2.1,,VASE,,excel
vaseline 450ml,Vaseline 450ml,005 - COSMETICS,3.9899999999999998,3.8,3.9899999999999998,,VAS,,excel
vaseline 50ml,Vaseline 50ml,005 - COSMETICS,0.525,0.5,0.525,,VASL,,excel
vaseline cream,Vaseline Cream,005 - COSMETICS,3.15,3.0,3.15,,VASLN,,excel
vaseline lips,Vaseline lips,005 - COSMETICS,0.525,0.5,0.525,,VASELN,,excel
vaseline lotion,Vaseline Lotion,005 - COSMETICS,3.675,3.5,3.675,,VASLNL,,excel
vestline garlic 200g,Vestline Garlic - 200g,005 - COSMETICS,1.05,1.0,1.05,,VESTGLC,,excel
victoria juice,Victoria Juice,002 - BEVERAGES,2.1,2.0,2.1,,VIC,,excel
vigos choc,Vigos Choc,012 - SNACK,0.10500000000000001,0.1,0.10500000000000001,,VIG,,excel
vim can,Vim Can,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,VM,,excel
vinegar 750ml,Vinegar - 750ml,,1.0,,,1.0,,VIGR750,pdf
weetbix 450g,Weetbix - 450g,003 - CEREALS,2.31,2.2,2.31,,WETBX,,excel
wheat 2kg,WHEAT 2KG,,5.0,,,5.0,,WHT,pdf
wheat buckets,Wheat Buckets,,32.0,,,32.0,,WHETBK,pdf
white rice case 2kg,White Rice Case 2kg,016 - STARCH,,,0.0,,WHRC,,excel
wild cat 500ml,Wild Cat - 500ml,002 - BEVERAGES,0.525,0.5,0.525,,WILDC01,,excel
wipes,Wipes,001 - BABY,0.735,0.7,0.735,,WIP,,excel
wish cream,Wish Cream,012 - SNACK,1.05,1.0,1.05,,WSH,,excel
xtra vim,Xtra Vim,004 - CLEANING PRODUCTS,0.8400000000000001,0.8,0.8400000000000001,,VIM,,excel
xtra washing powder,XTRA Washing Powder,004 - CLEANING PRODUCTS,3.675,3.5,3.675,,XTRA,,excel
yebo soap,Yebo Soap,019 - TOILETRIES,0.525,0.5,0.525,,YBO,,excel
yogurt kefalos 75ml,Yogurt Kefalos 75ml,012 - SNACK,0.63,0.6,0.63,,YOGT,,excel
zapnax,ZapNax,012 - SNACK,0.525,0.5,0.525,,ZAP,,excel
zapnax pack,ZapNax Pack,012 - SNACK,3.15,3.0,3.15,,ZAPP,,excel
zimgold marg tub,Zimgold Marg  Tub,015 - SPREADS,,,0.0,,ZMG,,excel
